sleep_s,test_case,producers,consumers,elapsed_s,produced,consumed,throughput
0.00044,9,16,4,.006520000,1013,289,360930
0.00044,10,1,16,.006845000,115,697,939421
0.00044,11,4,16,.007382000,344,1088,1.09273e+06
0.00044,12,16,16,.007733000,749,1306,975659
0.00045,1,1,1,.007140000,1145,1095,1.84369e+06
0.00045,2,4,1,.007054000,720,174,279480
0.00045,3,16,1,.006183000,915,83,108948
0.00045,4,1,2,.006013000,315,749,1.24056e+06
0.00045,5,4,2,.006225000,681,190,295394
0.00045,6,16,2,.005767000,1118,94,115888
0.00045,7,1,4,.008204000,136,275,446203
0.00045,8,4,4,.005429000,462,461,718786
0.00045,9,16,4,.005722000,948,181,220361
0.00045,10,1,16,.005810000,77,769,1.02376e+06
0.00045,11,4,16,.005718000,253,741,941003
0.00045,12,16,16,.006106000,939,582,605882
0.00046,1,1,1,.005836000,1146,1089,1.81352e+06
0.00046,2,4,1,.005900000,823,195,315619
0.00046,3,16,1,.006027000,1088,22,28828.8
0.00046,4,1,2,.006171000,320,677,1.12661e+06
0.00046,5,4,2,.006315000,716,357,561083
0.00046,6,16,2,.006874000,1089,86,108780
0.00046,7,1,4,.006441000,280,539,832754
0.00046,8,4,4,.007587000,500,383,567986
0.00046,9,16,4,.006668000,1023,211,251690
0.00046,10,1,16,.012358000,43,0,0
0.00046,11,4,16,.006680000,505,755,775482
0.00046,12,16,16,.006826000,678,500,500898
0.00047,1,1,1,.006106000,1260,1211,1.8847e+06
0.00047,2,4,1,.006725000,812,199,309677
0.00047,3,16,1,.006614000,1077,41,50672
0.00047,4,1,2,.006640000,500,719,1.0015e+06
0.00047,5,4,2,.006496000,757,317,479912
0.00047,6,16,2,.006196000,1085,124,159573
0.00047,7,1,4,.005665000,291,644,1.01216e+06
0.00047,8,4,4,.005532000,530,525,787789
0.00047,9,16,4,.006154000,899,239,298480
0.00047,10,1,16,.006257000,116,776,996987
0.00047,11,4,16,.005630000,329,792,991343
0.00047,12,16,16,.006673000,754,605,672349
0.00048,1,1,1,.005880000,859,857,1.36301e+06
0.00048,2,4,1,.006726000,835,170,267110
0.00048,3,16,1,.006956000,1280,23,31123.7
0.00048,4,1,2,.006443000,584,1055,1.6678e+06
0.00048,5,4,2,.006133000,676,246,367641
0.00048,6,16,2,.006756000,920,134,154787
0.00048,7,1,4,.006609000,190,773,1.14139e+06
0.00048,8,4,4,.006586000,588,538,763701
0.00048,9,16,4,.006929000,1232,192,220944
0.00048,10,1,16,.006673000,144,797,944316
0.00048,11,4,16,.006283000,374,802,883442
0.00048,12,16,16,.006740000,813,559,540918
0.00049,1,1,1,.006366000,980,869,1.35843e+06
0.00049,2,4,1,.005423000,919,201,302477
0.00049,3,16,1,.006158000,1122,68,83555.1
0.00049,4,1,2,.006067000,926,1756,2.72369e+06
0.00049,5,4,2,.005998000,706,302,454471
0.00049,6,16,2,.006232000,1085,113,138219
0.00049,7,1,4,.006095000,258,774,1.17158e+06
0.00049,8,4,4,.006017000,463,491,716008
0.00049,9,16,4,.006542000,1059,218,245541
0.00049,10,1,16,.006871000,111,1171,1.30804e+06
0.00049,11,4,16,.006592000,502,951,1.11897e+06
0.00049,12,16,16,.006811000,992,543,507711
0.00050,1,1,1,.006696000,1136,1025,1.56651e+06
0.00050,2,4,1,.006347000,808,208,302005
0.00050,3,16,1,.006562000,1138,83,104655
0.00050,4,1,2,.006137000,932,1819,2.72378e+06
0.00050,5,4,2,.006485000,831,307,428397
0.00050,6,16,2,.006164000,1001,105,123047
0.00050,7,1,4,.005668000,187,635,973052
0.00050,8,4,4,.006857000,498,457,648076
0.00050,9,16,4,.006051000,906,100,123986
0.00050,10,1,16,.005975000,112,872,1.00846e+06
0.00050,11,4,16,.006188000,337,965,1.04971e+06
0.00050,12,16,16,.006702000,860,557,576908
0.00051,1,1,1,.005766000,1123,1061,1.5791e+06
0.00051,2,4,1,.006443000,813,162,241046
0.00051,3,16,1,.006488000,1201,81,89771.4
0.00051,4,1,2,.005760000,642,1073,1.60536e+06
